SENDER,RECP_NAME,AMOUNT,CURRENCY,TYPE,TIME
company D,3b2fefcf70b0c53683e88e2f554ab018,299250.0,HUF,salary,2019-03-08 09:25:46.293
company D,31f0f145175d13e9ec2f8dad9578bd2f,300000.0,HUF,other,2019-03-08 09:25:46.253
company D,b0deee212f0e37d2ac795d5df622e27f,196263.0,HUF,other,2019-02-20 14:34:42.177
company C,394cbfdd3b16018b7f55d5efa79d5341,5021000.0,HUF,tax,2018-12-21 14:45:23.513
company D,7af1963d1d11cc9e3e5368cdb4965b6a,93000.0,HUF,other,2019-03-11 12:40:46.533
company D,67c35cedee35feb90c4d40046644518a,16186699.0,HUF,other,2019-02-07 08:25:24.987
company D,9dcd59caae84074449bc02fdbd00b3d6,731520.0,HUF,other,2019-03-01 09:18:36.760
company D,6b3732080aa50947a6f194bf9fc93b7a,1092200.0,HUF,other,2019-03-01 09:18:36.860
company D,db1fd93b151942a09fc84600c92bb74a,32426.0,HUF,other,2019-03-01 09:18:36.750
company D,dc04df581fdd2647140f39affa4eda1c,86410.0,HUF,other,2019-02-13 14:54:05.287
company D,37dee58a72c11fb60a159ca627596c4b,63500.0,HUF,other,2019-03-01 09:18:36.703
company D,f930c36f78132980abb7880fa2634535,99200.0,HUF,other,2019-02-15 09:33:11.487
company D,f930c36f78132980abb7880fa2634535,203329.0,HUF,other,2019-02-15 09:33:11.537
company D,06d6a1272fab2c27e57f8c92a4ebe598,10569.0,HUF,other,2019-02-19 12:50:51.443
company D,0f287de6d3ce3da95f063b153558a96d,600000.0,HUF,other,2019-02-07 09:03:23.737
company D,bf676b246160b616d370fb1ebe0d1654,125000.0,HUF,other,2019-02-15 09:33:11.337
company D,d9a1951c3d4ad461aac3d110ea21ccd8,3595.0,HUF,other,2019-02-19 12:50:51.473
company D,7ec3b8f97aad020aa9c464c61820bf05,36928.0,HUF,other,2019-03-01 09:18:36.727
company D,d8d5fc775bd2920479ab31de799c3dab,1901442.0,HUF,other,2019-03-01 09:18:36.770
company C,f88059d8e9c71a994842cec0fe6d45d9,20161.0,HUF,other,2019-02-07 07:47:08.217
company C,a0c28cc16218f0393020fdf440be4a99,276240.0,HUF,invoice,2019-03-26 07:15:52.327
company C,4399b0557095a54ac4fb808d2559f494,2161280.0,HUF,other,2019-03-26 07:15:52.297
company C,88061ccac93742fd333a63f73bb2ac6d,700000.0,HUF,invoice,2019-03-26 07:15:52.307
company C,88061ccac93742fd333a63f73bb2ac6d,450000.0,HUF,invoice,2019-03-26 07:15:52.313
company C,e3b6e8cc28999384107e9fae9aa83bf6,1028700.0,HUF,invoice,2019-03-26 07:15:52.320
company C,e3b6e8cc28999384107e9fae9aa83bf6,1524000.0,HUF,invoice,2019-03-26 07:15:52.363
company C,b215d76c1b9560be992b42c56332c667,88900.0,HUF,invoice,2019-03-26 07:15:52.347
company C,b215d76c1b9560be992b42c56332c667,88900.0,HUF,invoice,2019-03-26 07:15:52.340
company D,677fc12b28a765e05d67e0a9ce0d26da,576392.0,HUF,other,2019-03-21 13:47:16.183
company C,394cbfdd3b16018b7f55d5efa79d5341,1041000.0,HUF,tax,2019-05-20 10:54:34.247
company C,d2a6bff0056898bc6c3a197bb5eaedf1,1447800.0,HUF,invoice,2019-05-20 10:54:34.223
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.350
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.270
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.260
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.447
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.627
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.110
company C,9608ff08f0c6638b891af5b7d7a9d6ab,190000.0,HUF,invoice,2018-12-21 10:25:07.357
company D,8a99734fd6c870ec481f915228155052,147500.0,HUF,other,2019-03-27 15:43:17.250
company B,6d65834b3d7106ec6f0da7c1ba47c172,40000.0,HUF,invoice,2019-05-03 08:57:18.903
company B,32aa69449692276d7d9347046165a33e,7000.0,HUF,tax,2019-05-03 08:57:18.937
company D,06d6a1272fab2c27e57f8c92a4ebe598,14656.0,HUF,other,2019-03-14 13:49:34.023
company D,5d796be318d734ef7e04cdc9fd4e4d7e,38152.0,HUF,other,2019-04-26 10:50:35.350
company D,71ea155fd26fc9f0421d056c43c6f757,2299970.0,HUF,other,2019-03-14 11:35:15.820
company B,9dbf53be16b891d64e6b4155587a605d,66000.0,HUF,tax,2019-05-20 16:51:18.480
company C,579a00d7827f82071411fffd6cc9335a,100000.0,HUF,salary,2019-01-18 13:04:07.157
company C,394cbfdd3b16018b7f55d5efa79d5341,2345000.0,HUF,tax,2019-04-23 12:11:17.193
company D,5d796be318d734ef7e04cdc9fd4e4d7e,215741.0,HUF,other,2019-04-23 12:07:11.820
company D,bf676b246160b616d370fb1ebe0d1654,125000.0,HUF,other,2019-04-23 12:08:13.533
company D,f76c077668ebfb91b3e2d69f6ef9aa1a,456025.0,HUF,other,2019-04-23 12:08:14.067
company D,9dbf53be16b891d64e6b4155587a605d,4856000.0,HUF,tax,2019-02-05 11:50:47.443
company D,b5d8ba0928d985e14ccd2168e8b3d164,500001.0,HUF,salary,2019-02-05 11:50:47.437
company D,94eb4bc97356e5f1887dfee5e6afc57e,5000.0,HUF,other,2019-04-03 09:43:06.097
company C,5eb3ad375c2a50f58e26c45076847780,1270000.0,HUF,invoice,2019-05-16 17:53:25.827
company C,3a10662b4559bf63392435abfb07ec2f,197000.0,HUF,salary,2019-03-11 14:47:40.657
company C,65f1a7d51d629fcb9823aa81da379c1d,129675.0,HUF,salary,2019-03-11 14:47:40.713
company C,2fe83fefd5082668a6c3069a0ffd489b,166250.0,HUF,salary,2019-03-11 14:47:40.687
company C,a9f5974d2d26f4b3a8cffe7d90a3525b,39370.0,HUF,salary,2019-03-11 14:47:40.697
company C,6a71c32e99d7a9f2d73b1a0fad0733bf,3423.0,HUF,tax,2019-03-08 10:58:48.490
company C,7cd45d10bfe42ba383b9fe2d4bf6412c,20280.0,HUF,salary,2019-03-11 14:47:40.703
company C,6a71c32e99d7a9f2d73b1a0fad0733bf,1764.0,HUF,salary,2019-03-11 14:47:40.663
company C,b75853b76cb09249107597c2c5f9ffa8,282250.0,HUF,salary,2019-03-11 14:47:40.673
company C,6a71c32e99d7a9f2d73b1a0fad0733bf,3423.0,HUF,salary,2019-03-11 14:47:40.680
company C,514b2f1e80570950515dbfd7b48eacdf,124900.0,HUF,salary,2019-03-11 14:47:40.647
company C,43a6b5adb6c36e67cd3743d0a6c4a776,157350.0,HUF,salary,2019-03-11 14:47:40.740
company C,3e0e110d01129540707c5dd6a95e9517,152950.0,HUF,salary,2019-03-11 14:47:40.720
company C,579a00d7827f82071411fffd6cc9335a,156275.0,HUF,salary,2019-03-11 09:39:17.063
company C,a4a784f1711e456f9a5f8e40a73c2874,172000.0,HUF,tax,2019-03-12 15:15:16.500
company C,91d482cc280baa037b65487d5454da10,181000.0,HUF,tax,2019-03-12 15:15:16.517
company C,8775e74b8ee8d3ac52cf82ec402c80e8,156000.0,HUF,tax,2019-03-12 15:15:16.553
company C,5a30deed5ffd63e2630ad4380b447a5f,391000.0,HUF,tax,2019-03-12 15:15:16.547
company C,ec34e592e6508c69a435bba963b6d8e5,30000.0,HUF,tax,2019-03-12 15:15:16.563
company C,5bfba9e33ad4be5dd894124c9293c2fb,38490.0,HUF,tax,2019-03-12 15:15:16.527
company C,8bd09f65d08684c7ccab67147d401e88,1455100.0,HUF,tax,2019-03-14 13:15:48.753
company D,c41591bf312a4f7bb4f868560bfd99de,362640.0,HUF,other,2019-04-15 09:58:12.630
company B,05ed321cf93c3d70a65636c18d12772d,3543.0,HUF,invoice,2019-04-26 17:44:25.497
company D,693518e29227d7f7273406fea935689f,14605.0,HUF,other,2019-04-24 15:21:19.747
company D,583995546c2c2d5d1d4ad32a05b981b8,5000.0,HUF,other,2019-03-22 09:59:55.563
company D,92e301233b6482d7c59d3bb727c5168d,361315.0,HUF,other,2019-03-22 10:03:57.757
company C,eda133098581c099865339e9a419f871,36000.0,HUF,tax,2019-02-25 10:06:04.730
company D,37dee58a72c11fb60a159ca627596c4b,44450.0,HUF,other,2019-04-18 10:58:17.447
